Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
atw2 210.86771156 61.59775475   97.047   -11.11   -19.19     4.53   0.41   0.17   0.42 
atwc 210.86766841 61.59816099   97.997   -34.34   -12.74     13.6    1.4   1.11   2.81 
auck 174.83438528 -36.602846  132.707    39.72     4.16    -0.48   0.05   0.04   0.12 
augl 206.6460903 59.37030023  103.923   -33.41    -3.87     9.47   0.54    0.4   0.87 
aukt 174.7704204 -36.84375459   40.077     40.2     3.76     -1.2   0.09   0.09    0.2 
autf 291.69643214 -54.83952568   71.883    11.58      9.0     1.34   0.16   0.15   0.42 
av01 206.53919944 59.35853143  487.213   -30.15    -5.93     4.05   0.12   0.14   0.21 
av02 206.57160938 59.3329752  229.773    -30.2    -5.24     5.65   0.13   0.12   0.18 
av04 206.55532798 59.36258383  915.955   -30.21    -3.64     2.53   0.42   0.46   0.76 
av06 194.23427968 54.14717987  463.089   -22.22     -6.3      2.9   0.13    0.1   0.22 
av07 193.96146384 54.16293755  521.056   -22.21    -9.36     4.52   0.16   0.16   0.33 
av08 193.97172904 54.13629982  598.402   -22.59    -8.52     3.87   0.13   0.13   0.27 
av09 193.45816426 53.87563548  105.670   -22.58    -7.39     3.04   0.12   0.08   0.18 
av10 194.06623576 54.09761017  329.522   -24.17    -7.09     4.54   0.11    0.1   0.27 
av11 206.64531448 59.37062807  114.895   -30.19    -5.43     6.29   0.09   0.13   0.19 
av12 194.1024543 54.21079971  404.699   -19.21    -5.28     4.93   0.17   0.09   0.25 
av13 194.10218497 54.15308189  494.743   -22.45    -4.85     7.03   0.18   0.25   0.35 
av14 194.15843171 54.11889537  396.330   -23.01    -5.13     4.14   0.12   0.15   0.26 
av15 194.28988758 54.10019443  457.428   -22.43    -7.59     2.42   0.14   0.07   0.19 
av16 206.46495505 59.38591128   25.362   -29.88    -5.29     5.05   0.08   0.12   0.19 
av17 206.54855489 59.40394691   29.394   -29.73    -5.63     3.86   0.09   0.08   0.17 
av18 206.56316501 59.38043408  367.189   -29.38     0.07    -1.28   0.09   0.17   0.24 
av19 206.5856717 59.3549083  647.428   -31.91    -3.37     0.17   0.15   0.18   0.28 
av20 206.5717943 59.34738182  542.188   -29.92    -4.78      3.2   0.16   0.21   0.29 
av21 206.64608991 59.37029861  103.974   -30.51    -2.74     8.61   0.66   0.93   1.84 
av24 195.24519692 54.58998428  481.727   -17.45    -10.1     6.29   0.19    0.2   0.32 
av25 195.22050237 54.53000301  651.946   -20.34   -12.68     7.01   0.17   0.26   0.45 
av26 195.41953525 54.57165433  577.598   -15.39    -1.52     7.86   0.24   0.21    0.4 
av29 195.41385029 54.4723537  971.887   -28.38    -3.04     9.29   0.77   0.64    1.3 
av34 196.28708122 54.72490945  636.398    -22.8    -8.02      2.7   0.15   0.13   0.24 
av35 195.6130838 54.84669525  646.999   -21.87    -5.93     0.15   0.45   0.29   0.77 
av36 195.87319656 54.77179462  648.417   -21.39    -7.29     0.93   0.25   0.26   0.39 
av37 196.00276588 54.70938019  796.045   -22.42    -8.33     1.77   0.25    0.2   0.35 
av38 196.21912673 54.83146909  492.313   -21.83    -7.57     1.56   0.22   0.15   0.38 
av39 196.00153419 54.81134208  797.404   -21.17    -8.27     0.25   0.41   0.45   0.68 
